episode,density,ep_reward,ep_steps,captured,mean_reward_50,eval_capture_pct,elapsed_s
1,0.1,-9.9131,935,1,-9.9131,0.0,0.7
2,0.0,-2.3571,2000,0,-6.1351,0.0,1.1
3,0.0,19.1719,875,1,2.3005,0.0,1.3
4,0.1,-21.4454,2000,0,-3.636,0.0,2.7
5,0.05,9.8176,753,1,-0.9452,0.0,3.0
6,0.0,17.8367,1868,1,2.1851,0.0,3.4
7,0.0,19.2797,739,1,4.6272,0.0,3.6
8,0.0,19.3537,693,1,6.468,0.0,3.7
9,0.1,7.2841,804,1,6.5587,0.0,4.3
10,0.0,19.1597,887,1,7.8188,0.0,4.5
11,0.1,-20.5197,2000,0,5.2426,0.0,5.9
12,0.1,-19.3681,2000,0,3.1917,0.0,7.3
13,0.1,-19.6139,1318,1,1.4374,0.0,8.2
14,0.0,-1.9837,2000,0,1.193,0.0,8.6
15,0.1,17.9974,318,1,2.3133,0.0,8.9
16,0.05,11.9544,359,1,2.9159,0.0,9.0
17,0.0,19.7857,261,1,3.9082,0.0,9.1
18,0.0,18.5937,1453,1,4.7241,0.0,9.4
19,0.0,19.6547,392,1,5.5099,0.0,9.4
20,0.0,19.5687,478,1,6.2129,0.0,9.5
21,0.0,19.5307,516,1,6.847,0.0,9.6
22,0.1,-108.9175,2000,0,1.585,0.0,10.9
23,0.1,8.8267,364,1,1.8999,0.0,11.1
24,0.0,19.4518,595,1,2.6312,0.0,11.2
25,0.1,-23.9634,2000,0,1.5674,0.0,12.4
26,0.0,19.6798,367,1,2.264,0.0,12.5
27,0.1,-3.1611,1122,1,2.0631,0.0,13.2
28,0.1,-48.038,1711,1,0.2738,0.0,14.4
29,0.1,-6.3668,852,1,0.0448,0.0,14.9
30,0.1,-87.3349,2000,0,-2.8679,0.0,16.3
31,0.05,-26.4016,1749,1,-3.627,0.0,17.0
32,0.0,-1.9775,2000,0,-3.5755,0.0,17.4
33,0.05,-1.435,1087,1,-3.5106,0.0,17.9
34,0.1,-21.7483,2000,0,-4.047,0.0,19.1
35,0.05,12.9255,582,1,-3.5621,0.0,19.3
36,0.0,19.7887,258,1,-2.9134,0.0,19.4
37,0.0,19.6968,350,1,-2.3023,0.0,19.5
38,0.1,-109.3046,2000,0,-5.1182,0.0,20.8
39,0.05,-59.3804,1453,1,-6.5095,0.0,21.5
40,0.05,17.1598,1253,1,-5.9178,0.0,22.1
41,0.05,2.2039,1223,1,-5.7197,0.0,22.7
42,0.0,19.5407,506,1,-5.1183,0.0,22.8
43,0.0,19.5607,486,1,-4.5443,0.0,22.9
44,0.05,7.4413,856,1,-4.2719,0.0,23.3
45,0.0,18.9955,1022,1,-3.7549,0.0,23.5
46,0.0,18.6668,1380,1,-3.2675,0.0,23.7
47,0.05,14.0682,899,1,-2.8986,0.0,24.1
48,0.0,17.8353,1607,1,-2.4667,0.0,24.5
49,0.05,14.2599,493,1,-2.1253,0.0,24.7
50,0.05,-27.9549,2000,0,-2.6419,0.0,25.5
51,0.1,0.0601,952,1,-2.4424,0.0,26.1
52,0.05,15.6633,638,1,-2.082,0.0,26.4
53,0.0,19.1828,864,1,-2.0818,0.0,26.6
54,0.1,9.2896,1661,1,-1.4671,0.0,27.6
55,0.05,-21.3508,2000,0,-2.0905,0.0,28.5
56,0.1,18.2515,647,1,-2.0822,0.0,28.9
57,0.0,18.3706,1022,1,-2.1004,0.0,29.1
58,0.05,4.7346,486,1,-2.3927,0.0,29.4
59,0.0,19.6798,367,1,-2.1448,0.0,29.4
60,0.1,-22.5836,1567,1,-2.9797,0.0,30.5
61,0.05,17.0181,636,1,-2.2289,0.0,30.8
62,0.1,-2.5704,1039,1,-1.893,0.0,31.4
63,0.1,-0.0354,1835,1,-1.5014,0.0,32.8
64,0.05,19.4656,450,1,-1.0724,0.0,33.0
65,0.1,-3.7807,1034,1,-1.508,0.0,33.7
66,0.0,19.6848,362,1,-1.3534,0.0,33.8
67,0.1,-94.0512,1846,1,-3.6301,0.0,35.0
68,0.0,18.6718,1375,1,-3.6286,0.0,35.2
69,0.0,19.4257,621,1,-3.6331,0.0,35.4
70,0.1,-7.3443,1887,1,-4.1714,0.0,36.6
71,0.0,18.5597,1487,1,-4.1908,0.0,36.9
72,0.05,-4.8087,1053,1,-2.1086,0.0,37.4
73,0.0,19.1387,908,1,-1.9024,0.0,37.5
74,0.0,-2.1497,2000,0,-2.3344,0.0,38.0
75,0.0,19.6647,382,1,-1.4619,0.0,38.0
76,0.05,14.1497,589,1,-1.5725,0.0,38.3
77,0.05,4.3983,1494,1,-1.4213,0.0,38.9
78,0.05,1.3466,1888,1,-0.4336,0.0,39.7
79,0.1,-102.6667,2000,0,-2.3596,0.0,41.1
80,0.05,5.9207,1790,1,-0.4945,0.0,41.9
81,0.0,19.4987,548,1,0.4235,0.0,42.0
82,0.05,15.2965,860,1,0.769,0.0,42.3
83,0.05,10.3939,493,1,1.0056,0.0,42.6
84,0.0,19.6858,361,1,1.8343,0.0,42.6
85,0.1,15.1062,265,1,1.8779,0.0,42.8
86,0.05,-3.897,971,1,1.4042,0.0,43.3
87,0.1,-29.0944,1292,1,0.4283,0.0,44.2
88,0.1,-14.3535,1336,1,2.3274,0.0,45.0
89,0.1,16.4204,946,1,3.8434,0.0,45.7
90,0.0,19.4308,616,1,3.8888,0.0,45.8
91,0.1,-33.0487,1396,1,3.1837,0.0,46.8
92,0.1,13.6992,700,1,3.0669,0.0,47.3
93,0.0,19.5917,455,1,3.0675,0.0,47.4
94,0.1,16.0602,1044,1,3.2399,0.0,48.1
95,0.1,-1.6768,1116,1,2.8265,0.0,48.9
96,0.0,19.4357,611,1,2.8418,0.0,49.0
97,0.0,19.5728,474,1,2.9519,0.0,49.1
98,0.05,10.4426,1119,1,2.8041,0.0,49.6
99,0.05,12.5673,1149,1,2.7702,0.0,50.1
100,0.05,-8.3215,1603,1,3.1629,65.0,94.5
101,0.1,-56.1079,1435,1,2.0395,65.0,95.5
102,0.1,8.1092,977,1,1.8885,65.0,96.2
103,0.1,16.6729,306,1,1.8383,65.0,96.4
104,0.0,19.1778,869,1,2.036,65.0,96.6
105,0.1,-6.7802,831,1,2.3274,65.0,97.2
106,0.05,-7.0956,2000,0,1.8205,65.0,98.1
107,0.0,19.6007,446,1,1.8451,65.0,98.2
108,0.0,19.3317,715,1,2.137,65.0,98.3
109,0.0,-2.7601,2000,0,1.6882,65.0,98.8
110,0.05,-22.8855,2000,0,1.6822,65.0,99.6
111,0.05,7.7034,520,1,1.4959,65.0,99.8
112,0.05,18.617,377,1,1.9197,65.0,100.0
113,0.0,18.6507,1396,1,2.2934,65.0,100.3
114,0.0,19.5978,449,1,2.296,65.0,100.4
115,0.1,11.1153,935,1,2.5939,65.0,101.0
116,0.1,7.2736,1011,1,2.3457,65.0,101.7
117,0.05,17.7638,1684,1,4.582,65.0,102.4
118,0.0,19.1678,879,1,4.5919,65.0,102.6
119,0.1,11.723,925,1,4.4379,65.0,103.2
120,0.05,15.0854,1221,1,4.8865,65.0,103.8
121,0.05,-7.6066,1158,1,4.3632,65.0,104.3
122,0.1,15.6741,1623,1,4.7728,65.0,105.4
123,0.05,16.359,1120,1,4.7172,65.0,106.0
124,0.0,-1.972,2000,0,4.7208,65.0,106.4
125,0.05,18.7538,1293,1,4.7026,65.0,106.9
126,0.0,19.7787,268,1,4.8151,65.0,107.0
127,0.0,18.6468,1400,1,5.1001,65.0,107.3
128,0.1,-14.6784,1332,1,4.7796,65.0,108.3
129,0.1,-10.6569,979,1,6.6198,65.0,108.9
130,0.1,-14.5517,2000,0,6.2104,65.0,110.3
131,0.05,-37.653,2000,0,5.0673,65.0,111.2
132,0.1,-118.1235,2000,0,2.3989,65.0,112.5
133,0.1,-39.4832,1228,1,1.4014,65.0,113.2
134,0.05,14.7031,799,1,1.3017,65.0,113.6
135,0.1,-61.1101,1784,1,-0.2226,65.0,114.9
136,0.05,13.9368,1931,1,0.1341,65.0,115.8
137,0.05,-0.1554,1164,1,0.7128,65.0,116.3
138,0.0,19.4427,604,1,1.3888,65.0,116.4
139,0.0,19.4857,561,1,1.4501,65.0,116.5
140,0.1,-60.6536,2000,0,-0.1516,65.0,118.0
141,0.05,-1.7593,915,1,0.4742,65.0,118.4
